Generacion,Costo,Diseño
0,1491.0,.............|..0102..0910..1718.|..0304..1112..1920.|..0506..1314..2122.|..0708..1516..2324.|.............|..2526..3334..4142.|..2728..3536..4344.|..2930..3738..4546.|..3132..3940..4748.|.............
1,1246.0,.............|..3112..1038..4202.|..2315..3721..1143.|..3018..0633..4039.|..2832..2013..4144.|.............|..2227..2414..0546.|..1726..1604..0301.|..1925..0834..0745.|..0929..3635..4748.|.............
2,1243.0,.............|..1512..1038..4202.|..2331..3721..1143.|..3018..0633..4039.|..2832..2013..4144.|.............|..2227..2414..0546.|..1726..1604..0301.|..1925..0834..0745.|..0929..3635..4748.|.............
3,1238.0,.............|..1512..1038..4202.|..1331..3721..1143.|..3018..0633..4039.|..2832..2023..4144.|.............|..2227..2414..0546.|..1726..1604..0301.|..1925..0834..0745.|..0929..3635..4748.|.............
4,1234.0,.............|..1512..1038..3602.|..1331..3721..1143.|..3018..0633..4039.|..2832..2023..4144.|.............|..2227..2414..0546.|..1726..1604..0301.|..1925..0834..0745.|..0929..4235..4748.|.............
5,1195.0,.............|..1512..1038..4202.|..1331..3721..1143.|..3018..0633..4039.|..2832..2023..4144.|.............|..3622..2724..1405.|..4617..2616..0403.|..0119..2508..3407.|..4509..2935..4748.|.............
6,1176.0,.............|..1512..1038..4202.|..1331..3721..1106.|..3018..4333..4039.|..2832..2023..4144.|.............|..3622..2724..1405.|..4617..2616..0403.|..0119..2508..3407.|..4509..2935..4748.|.............
7,1176.0,.............|..1512..1038..4202.|..1331..3721..1106.|..3018..4333..4039.|..2832..2023..4144.|.............|..3622..2724..1405.|..4617..2616..0403.|..0119..2508..3407.|..4509..2935..4748.|.............
8,1151.0,.............|..1512..3810..4202.|..1331..3721..1106.|..3018..4319..4039.|..2832..2023..4144.|.............|..3622..2724..1405.|..4617..2616..0403.|..0133..2508..3407.|..4509..2935..4748.|.............
9,1148.0,.............|..0412..3810..4202.|..1331..3721..1106.|..3018..4319..4039.|..2832..2023..4144.|.............|..3622..2724..1405.|..4617..2616..1503.|..0133..2508..3407.|..4509..2935..4748.|.............
10,1148.0,.............|..0412..3810..4202.|..1331..3721..1106.|..3018..4319..4039.|..2832..2023..4144.|.............|..3622..2724..1405.|..4617..2616..1503.|..0133..2508..3407.|..4509..2935..4748.|.............
11,1142.0,.............|..0412..3810..4202.|..1331..3721..1106.|..3020..4319..4039.|..2832..1823..4144.|.............|..3622..2724..1405.|..4617..2616..1503.|..0133..2508..3407.|..4509..2935..4748.|.............
